URL,Status,Title,Meta Description,H1,Issues
https://www.techtoolsweb.com,200,Tech tools web,"Online free tools like typing, seo, file converters, social media downloaders, dns, etc",Language Conversion,None
https://www.techtoolsweb.com/,200,Tech tools web,"Online free tools like typing, seo, file converters, social media downloaders, dns, etc",Language Conversion,None
https://www.techtoolsweb.com/typing/,Error,,,,Request failed
https://www.techtoolsweb.com/typing/english-to-tamil,200,English to Tamil Typing,"English to tamil typing is used to convert the word from english to tamil without changing the meaning, it is known as tamil typing using english",Tamil Typing,None
https://www.techtoolsweb.com/typing/english-to-hindi,200,English to Hindi Typing,"English to hindi typing is used to convert the word from english to hindi without changing the meaning, it is known as hindi typing using english",Hindi Typing,None
https://www.techtoolsweb.com/typing/english-to-kannada,200,English to Kannada Typing,"English to kannada typing is used to convert the word from english to kannada without changing the meaning, it is known as kannada typing using english",Kannada Typing,None
https://www.techtoolsweb.com/typing/english-to-telugu,200,English to Telugu Typing,"English to telugu typing is used to convert the word from english to telugu without changing the meaning, it is known as telugu typing using english",Telugu Typing,None
https://www.techtoolsweb.com/typing/english-to-malayalam,200,English to Malayalam Typing,"English to malayalam typing is used to convert the word from english to malayalam without changing the meaning, it is known as malayalam typing using english",Malayalam Typing,None
https://www.techtoolsweb.com/typing-speed-test,200,Typing speed test - know your speed,"Typing speed test online to increase your typing potiential, use the tool and practice everyday to increase typing speed",Typing Speed Test,None
https://www.techtoolsweb.com/diffchecker,200,Diff checker online - Compare two versions,Diffchecker is a free online tool that lets you compare difference between two text and Check for differences between versions easily.,Diff Checker,None
https://www.techtoolsweb.com/diffchecker#!,200,Diff checker online - Compare two versions,Diffchecker is a free online tool that lets you compare difference between two text and Check for differences between versions easily.,Diff Checker,None
https://www.techtoolsweb.com/remove-duplicates-from-list,200,Remove duplicates lines from list,remove duplicates lines from list online. Copy and paste the list and remove the duplicate lines. It is also called as duplicate remover,Remove duplicates,None
https://www.techtoolsweb.com/remove-duplicates-from-list#!,200,Remove duplicates lines from list,remove duplicates lines from list online. Copy and paste the list and remove the duplicate lines. It is also called as duplicate remover,Remove duplicates,None
https://www.techtoolsweb.com/keyboard-checker,200,Keyboard checker - best keyboard tester online,Best keyboard checker tool.. test all the keys in the keyword whether it is working or not. Easy to use online free tool,Keyboard checker,None
https://www.techtoolsweb.com/keyboard-checker#!,200,Keyboard checker - best keyboard tester online,Best keyboard checker tool.. test all the keys in the keyword whether it is working or not. Easy to use online free tool,Keyboard checker,None
https://www.techtoolsweb.com/html-unclosed-tag-checker,200,html unclosed tag checker,html unclosed tag finder is a easy online tool used to find which tag is unclosed with line number. You can easily find and add the close tag,Html unclosed Tag checker,None
https://www.techtoolsweb.com/html-unclosed-tag-checker#!,200,html unclosed tag checker,html unclosed tag finder is a easy online tool used to find which tag is unclosed with line number. You can easily find and add the close tag,Html unclosed Tag checker,None
https://www.techtoolsweb.com/domain-age-checker,200,Domain Age checker - Check domain details,"domain age checker helps to find age of the domain and other details like nameserver, registerer, etc",Domain age checker,None
https://www.techtoolsweb.com/domain-age-checker#!,200,Domain Age checker - Check domain details,"domain age checker helps to find age of the domain and other details like nameserver, registerer, etc",Domain age checker,None
https://www.techtoolsweb.com/xml-to-json,200,XML to JSON converter - free online tool,"xml to json converter is a free online tool to convert xml string to json, can customize the indent before coping the content, format, download file",XML To JSON,Missing image alt text
https://www.techtoolsweb.com/xml-to-json#!,200,XML to JSON converter - free online tool,"xml to json converter is a free online tool to convert xml string to json, can customize the indent before coping the content, format, download file",XML To JSON,Missing image alt text
https://www.techtoolsweb.com/youtube-downloader,200,Youtube video/audio downloader,Youtube video and audio downloader. Free and fast tool for youtube media downloading,Youtube downloader,Missing image alt text
https://www.techtoolsweb.com/youtube-downloader#!,200,Youtube video/audio downloader,Youtube video and audio downloader. Free and fast tool for youtube media downloading,Youtube downloader,Missing image alt text
https://www.techtoolsweb.com/website-speed-checker,200,Website speed checker - check page speed,Website speed checker helps to find the performance of the website's page. Page speed is most needed for seo to rank in top of google,Website Speed Checker,Missing image alt text
https://www.techtoolsweb.com/website-speed-checker#!,200,Website speed checker - check page speed,Website speed checker helps to find the performance of the website's page. Page speed is most needed for seo to rank in top of google,Website Speed Checker,Missing image alt text
https://www.techtoolsweb.com/website-speed-checker#mobile1,200,Website speed checker - check page speed,Website speed checker helps to find the performance of the website's page. Page speed is most needed for seo to rank in top of google,Website Speed Checker,Missing image alt text
https://www.techtoolsweb.com/website-speed-checker#desktop1,200,Website speed checker - check page speed,Website speed checker helps to find the performance of the website's page. Page speed is most needed for seo to rank in top of google,Website Speed Checker,Missing image alt text
https://www.techtoolsweb.com/plagiarism-checker,200,Plagiarism checker online for free,Detect plagiarism and ensure originality with our powerful plagiarism checker. Protect your content from duplication,Plagiarism Checker,None
https://www.techtoolsweb.com/plagiarism-checker#!,200,Plagiarism checker online for free,Detect plagiarism and ensure originality with our powerful plagiarism checker. Protect your content from duplication,Plagiarism Checker,None
https://www.techtoolsweb.com/website-rank-checker,200,Keyword Rank Checker - tech tools web,Website rank checker helps to find the rank of the website's page listing for the given keyword. easy online tool to find the rank of the website on country basis,Keyword Rank Checker,Missing image alt text
https://www.techtoolsweb.com/website-rank-checker#!,200,Keyword Rank Checker - tech tools web,Website rank checker helps to find the rank of the website's page listing for the given keyword. easy online tool to find the rank of the website on country basis,Keyword Rank Checker,Missing image alt text
https://www.techtoolsweb.com/term-of-services,200,Terms of Services - techtoolsweb.com,This is terms of services of techtoolsweb.com,Terms of Services,None
https://www.techtoolsweb.com/term-of-services#!,200,Terms of Services - techtoolsweb.com,This is terms of services of techtoolsweb.com,Terms of Services,None
https://www.techtoolsweb.com/privacy-policy,200,Privacy Policy - techtoolsweb.com,This is privacy policy of techtoolsweb.com,Privacy Policy,None
https://www.techtoolsweb.com/privacy-policy#!,200,Privacy Policy - techtoolsweb.com,This is privacy policy of techtoolsweb.com,Privacy Policy,None
https://www.techtoolsweb.com/typing-speed-test#!,200,Typing speed test - know your speed,"Typing speed test online to increase your typing potiential, use the tool and practice everyday to increase typing speed",Typing Speed Test,None
https://www.techtoolsweb.com/typing/english-to-malayalam#!,200,English to Malayalam Typing,"English to malayalam typing is used to convert the word from english to malayalam without changing the meaning, it is known as malayalam typing using english",Malayalam Typing,None
https://www.techtoolsweb.com/typing/english-to-telugu#!,200,English to Telugu Typing,"English to telugu typing is used to convert the word from english to telugu without changing the meaning, it is known as telugu typing using english",Telugu Typing,None
